n Valor Error Tiempo
1 0.0000000000 0.6366197724 3.60012054443e-05
2 0.5000000000 0.1366197724 7.39097595215e-05
3 0.5773502692 0.0592695032 9.20295715332e-05
4 0.6035533906 0.0330663818 0.000109910964966
5 0.6155367074 0.0210830649 0.000128030776978
6 0.6220084679 0.0146113044 0.00014591217041
7 0.6258980382 0.0107217341 0.000166893005371
8 0.6284174365 0.0082023359 0.000189065933228
9 0.6301424244 0.0064773480 0.00020694732666
10 0.6313751515 0.0052446209 0.000221967697144
20 0.6353102368 0.0013095356 0.000242948532104
30 0.6360378896 0.0005818828 0.000271081924438
40 0.6362924895 0.0003272829 0.000305891036987
50 0.6364103191 0.0002094533 0.000346899032593
60 0.6364743216 0.0001454508 0.000393867492676
70 0.6365129119 0.0001068605 0.000447034835815
80 0.6365379580 0.0000818144 0.00050687789917
90 0.6365551292 0.0000646431 0.000573873519897
100 0.6365674116 0.0000523607 0.000647068023682
